time,x ref,y ref,theta ref,v ref,omega ref
0.404,0.667772,0.00864299,0.0188859,2.84775,0.0307529,
0.40905,0.68226,0.00891889,0.0190406,2.86954,0.0306358,
0.4141,0.696858,0.00919912,0.0191948,2.89108,0.0305293,
0.41915,0.711562,0.00948367,0.0193485,2.91239,0.0304357,
0.4242,0.726374,0.00977255,0.0195018,2.93345,0.0303535,
0.42925,0.74129,0.0100658,0.0196547,2.95428,0.0302824,
0.4343,0.75631,0.0103633,0.0198074,2.97487,0.0302221,
0.43935,0.771433,0.0106652,0.0199597,2.99523,0.0301723,
0.4444,0.786657,0.0109714,0.0201119,3.01537,0.0301325,
0.44945,0.801982,0.011282,0.0202639,3.03527,0.0301022,
0.4545,0.817407,0.011597,0.0204158,3.05496,0.0300812,
0.45955,0.832929,0.0119163,0.0205677,3.07442,0.0300695,
0.4646,0.848549,0.01224,0.0207195,3.09367,0.0300667,
0.46965,0.864265,0.012568,0.0208714,3.1127,0.0300725,
0.4747,0.880075,0.0129005,0.0210233,3.13151,0.0300865,
0.47975,0.89598,0.0132373,0.0211754,3.15012,0.0301089,
0.4848,0.911977,0.0135785,0.0213276,3.16851,0.0301393,
0.48985,0.928066,0.0139242,0.02148,3.1867,0.0301775,
0.4949,0.944246,0.0142742,0.0216326,3.20469,0.0302232,
0.49995,0.960516,0.0146287,0.0217855,3.22247,0.0302767,
0.505,0.976874,0.0149877,0.0219387,3.24005,0.0303375,
0.51005,0.99332,0.0153511,0.0220922,3.25744,0.0304054,
0.5151,1.00985,0.0157189,0.0222462,3.27463,0.0304806,
0.52015,1.02647,0.0160912,0.0224005,3.29163,0.0305629,
0.5252,1.04317,0.0164681,0.0225553,3.30844,0.030652,
0.53025,1.05996,0.0168494,0.0227106,3.32506,0.0307481,
0.5353,1.07683,0.0172352,0.0228664,3.34149,0.030851,
0.54035,1.09378,0.0176255,0.0230227,3.35774,0.0309605,
0.5454,1.11082,0.0180204,0.0231797,3.3738,0.0310768,
0.55045,1.12793,0.0184199,0.0233372,3.38969,0.0311998,
0.5555,1.14512,0.0188239,0.0234954,3.40539,0.0313292,
0.56055,1.16239,0.0192325,0.0236543,3.42092,0.0314653,
0.5656,1.17974,0.0196457,0.023814,3.43628,0.031608,
0.57065,1.19717,0.0200635,0.0239743,3.45146,0.031757,
0.5757,1.21467,0.020486,0.0241355,3.46648,0.0319128,
0.58075,1.23224,0.0209131,0.0242975,3.48132,0.0320749,
0.5858,1.24989,0.0213449,0.0244603,3.496,0.0322436,
0.59085,1.26762,0.0217814,0.024624,3.51051,0.0324188,
0.5959,1.28541,0.0222226,0.0247886,3.52486,0.0326004,
0.60095,1.30328,0.0226686,0.0249542,3.53905,0.0327889,
0.606,1.32121,0.0231193,0.0251208,3.55308,0.0329838,
0.61105,1.33922,0.0235747,0.0252884,3.56696,0.0331853,
0.6161,1.3573,0.024035,0.025457,3.58068,0.0333936,
0.62115,1.37544,0.0245001,0.0256267,3.59424,0.0336084,
0.6262,1.39366,0.0249701,0.0257976,3.60765,0.0338303,
0.63125,1.41194,0.0254449,0.0259696,3.62091,0.0340588,
0.6363,1.43028,0.0259246,0.0261428,3.63402,0.0342944,
0.64135,1.44869,0.0264092,0.0263172,3.64699,0.0345369,
0.6464,1.46717,0.0268988,0.0264928,3.65981,0.0347865,
0.65145,1.48571,0.0273934,0.0266698,3.67248,0.0350433,
0.6565,1.50431,0.0278929,0.0268481,3.68501,0.0353071,
0.66155,1.52297,0.0283975,0.0270278,3.69741,0.0355786,
0.6666,1.5417,0.0289072,0.0272089,3.70966,0.0358573,
0.67165,1.56049,0.029422,0.0273914,3.72178,0.0361438,
0.6767,1.57934,0.0299418,0.0275754,3.73376,0.0364378,
0.68175,1.59825,0.0304669,0.0277609,3.7456,0.0367397,
0.6868,1.61721,0.0309971,0.027948,3.75731,0.0370496,
0.69185,1.63612,0.0315292,0.0281356,3.74573,0.0371378,
0.6969,1.65499,0.0320639,0.0283238,3.73871,0.0372779,
0.70195,1.67388,0.0326026,0.0285133,3.74106,0.0375182,
0.707,1.6927,0.033143,0.0287033,3.7293,0.0376241,
0.71205,1.71154,0.0336875,0.0288946,3.73168,0.0378789,
0.7171,1.73032,0.0342338,0.0290865,3.71981,0.0379962,
0.72215,1.74913,0.0347848,0.02928,3.72701,0.0383149,
0.7272,1.76788,0.0353377,0.0294741,3.71509,0.0384446,
0.73225,1.7866,0.0358932,0.0296692,3.70786,0.0386286,
0.7373,1.80533,0.0364527,0.0298657,3.71028,0.0389204,
0.74235,1.824,0.037014,0.030063,3.69818,0.0390665,
0.7474,1.84268,0.0375795,0.0302619,3.70063,0.0393731,
0.75245,1.86129,0.0381468,0.0304615,3.68841,0.0395306,
0.7575,1.87992,0.0387182,0.0306627,3.69088,0.0398522,
0.76255,1.89849,0.0392915,0.0308648,3.67855,0.0400212,
0.7676,1.9171,0.0398697,0.0310689,3.68603,0.0404125,
0.77265,1.93564,0.0404498,0.0312739,3.67365,0.0405943,
0.7777,1.95415,0.0410326,0.0314802,3.66614,0.0408359,
0.78275,1.97266,0.0416195,0.0316882,3.66866,0.0411966,
0.7878,1.99112,0.0422084,0.0318972,3.65608,0.0413954,
0.79285,2.00958,0.0428015,0.0321082,3.65863,0.0417722,
0.7979,2.02799,0.0433965,0.0323202,3.64594,0.041983,
0.80295,2.0464,0.0439958,0.0325342,3.6485,0.0423765,
0.808,2.06475,0.044597,0.0327493,3.6357,0.0425992,
0.81305,2.08311,0.0452026,0.0329665,3.63829,0.0430099,
0.8181,2.10141,0.04581,0.0331849,3.62537,0.0432452,
0.82315,2.11972,0.046422,0.0334055,3.62799,0.0436732,
0.8282,2.13797,0.0470357,0.0336273,3.61495,0.0439214,
0.83325,2.15623,0.047654,0.0338513,3.61759,0.0443676,
0.8383,2.17442,0.0482742,0.0340767,3.60444,0.0446287,
0.84335,2.19265,0.0488999,0.0343048,3.61242,0.0451603,
0.8484,2.21082,0.0495274,0.0345342,3.59921,0.0454367,
0.85345,2.22894,0.0501578,0.0347654,3.5912,0.0457859,
0.8585,2.24705,0.0507919,0.0349988,3.58851,0.0462117,
0.86355,2.26512,0.0514289,0.035234,3.58042,0.046577,
0.8686,2.28318,0.0520696,0.0354715,3.57771,0.047021,
0.87365,2.30119,0.0527132,0.0357109,3.56955,0.047403,
0.8787,2.31919,0.0533607,0.0359526,3.56682,0.0478666,
0.88375,2.33715,0.054011,0.0361963,3.55858,0.048266,
0.8888,2.3551,0.0546652,0.0364425,3.55582,0.0487491,
0.89385,2.373,0.0553224,0.0366908,3.54752,0.0491669,
0.8989,2.39089,0.0559836,0.0369416,3.54473,0.0496711,
0.90395,2.40874,0.0566476,0.0371947,3.53635,0.0501075,
0.909,2.42657,0.0573158,0.0374504,3.53354,0.0506332,
0.91405,2.44433,0.0579858,0.037708,3.51945,0.0510079,
0.9191,2.46213,0.0586621,0.0379692,3.528,0.0517217,
0.92415,2.47986,0.0593404,0.0382324,3.51384,0.0521158,
0.9292,2.49755,0.0600217,0.038498,3.50525,0.0526022,
0.93425,2.51523,0.0607072,0.0387666,3.50237,0.053186,
0.9393,2.53286,0.0613957,0.0390377,3.49371,0.0536943,
0.94435,2.55047,0.0620886,0.039312,3.4908,0.0543031,
0.9494,2.56804,0.0627845,0.0395889,3.48205,0.0548341,
0.95445,2.5856,0.0634848,0.039869,3.47912,0.0554701,
0.9595,2.60308,0.0641871,0.0401515,3.46442,0.0559307,
0.96455,2.6206,0.0648962,0.0404382,3.47334,0.0567863,
0.9696,2.63805,0.0656074,0.0407274,3.45857,0.0572708,
0.97465,2.65546,0.0663217,0.0410197,3.44961,0.0578642,
0.9797,2.67285,0.0670407,0.0413154,3.4466,0.0585715,
0.98475,2.69017,0.0677616,0.0416138,3.43154,0.0590878,
0.9898,2.70753,0.0684897,0.041917,3.44068,0.0600363,
0.99485,2.72481,0.0692199,0.042223,3.42554,0.06058,
0.9999,2.74205,0.0699535,0.0425322,3.41636,0.0612432,
1.00495,2.75927,0.0706918,0.0428455,3.41328,0.0620316,
1.01,2.77641,0.0714322,0.0431617,3.39784,0.0626113,
1.01505,2.79357,0.0721787,0.0434826,3.40096,0.063549,
1.0201,2.81065,0.0729274,0.0438066,3.38538,0.0641571,
1.02515,2.82774,0.0736824,0.0441355,3.38853,0.065138,
1.0302,2.84476,0.0744396,0.0444677,3.37281,0.0657763,
1.03525,2.86176,0.0752017,0.0448044,3.36963,0.066676,
1.0403,2.87871,0.0759675,0.0451452,3.36007,0.0674703,
1.04535,2.89561,0.0767369,0.04549,3.35045,0.0682827,
1.0504,2.9125,0.0775115,0.0458397,3.34722,0.0692458,
1.05545,2.92934,0.0782898,0.0461937,3.33751,0.0700972,
1.0605,2.94612,0.0790718,0.046552,3.32773,0.0709675,
1.06555,2.96289,0.0798592,0.0469156,3.32445,0.0719997,
1.0706,2.97961,0.0806504,0.0472839,3.31459,0.0729141,
1.07565,2.99628,0.0814454,0.0476568,3.30466,0.0738491,
1.0807,3.01293,0.0822459,0.0480353,3.30133,0.0749559,
1.08575,3.02954,0.0830504,0.0484188,3.29131,0.0759382,
1.0908,3.04609,0.0838588,0.0488074,3.28122,0.0769442,
1.09585,3.06262,0.0846729,0.049202,3.27784,0.0781341,
1.1009,3.07907,0.0854894,0.049601,3.26088,0.0790272,
1.10595,3.09553,0.0863134,0.0500073,3.26431,0.0804413,
1.111,3.11191,0.0871398,0.0504183,3.24719,0.0813831,
1.11605,3.12827,0.0879722,0.0508359,3.24373,0.0826946,
1.1211,3.14457,0.0888088,0.0512594,3.23332,0.0838621,
1.12615,3.16083,0.0896497,0.0516889,3.22285,0.0850579,
1.1312,3.17706,0.0904967,0.0521256,3.21933,0.086472,
1.13625,3.19321,0.0913463,0.0525677,3.20171,0.0875419,
1.1413,3.20937,0.0922041,0.0530183,3.20528,0.0892247,
1.14635,3.22545,0.0930644,0.0534746,3.1875,0.0903542,
1.1514,3.2415,0.0939313,0.0539388,3.1839,0.0919207,
1.15645,3.25747,0.0948007,0.054409,3.16589,0.0931107,
1.1615,3.27345,0.0956788,0.0548886,3.16953,0.0949764,
1.16655,3.28934,0.0965596,0.0553746,3.15135,0.096235,
1.1716,3.30521,0.0974473,0.0558694,3.14768,0.0979765,
1.17665,3.32099,0.0983376,0.0563709,3.12925,0.099305,
1.1817,3.33678,0.0992371,0.0568828,3.13298,0.101381,
1.18675,3.35249,0.100139,0.0574019,3.11439,0.102789,
1.1918,3.36813,0.101047,0.0579295,3.10311,0.10448,
1.19685,3.38375,0.101961,0.0584672,3.09933,0.106477,
1.2019,3.39928,0.102879,0.0590127,3.08036,0.108006,
1.20695,3.41479,0.103804,0.0595687,3.07653,0.110113,
1.212,3.43024,0.104734,0.0601344,3.065,0.112009,
1.21705,3.44563,0.105669,0.0607099,3.05338,0.113961,
1.2221,3.461,0.106613,0.061297,3.04949,0.116264,
1.22715,3.47628,0.107559,0.0618931,3.02996,0.118036,
1.2322,3.49153,0.108514,0.0625015,3.02601,0.120477,
1.23725,3.50672,0.109474,0.063121,3.01414,0.122677,
1.2423,3.52185,0.11044,0.063752,3.00219,0.124944,
1.24735,3.53692,0.111411,0.0643948,2.99015,0.127281,
1.2524,3.55193,0.112389,0.0650497,2.97804,0.129689,
1.25745,3.56691,0.113375,0.065719,2.97398,0.13253,
1.2625,3.58179,0.114365,0.0663994,2.9536,0.134734,
1.26755,3.59666,0.115364,0.0670951,2.94948,0.137759,
1.2726,3.61141,0.116366,0.0678026,2.92884,0.140102,
1.27765,3.62615,0.117377,0.0685264,2.92466,0.143323,
1.2827,3.64082,0.118395,0.0692649,2.9121,0.146243,
1.28775,3.65543,0.119419,0.0700187,2.89946,0.14926,
1.2928,3.66997,0.12045,0.0707882,2.88674,0.152382,
1.29785,3.68444,0.121488,0.071574,2.87393,0.155606,
1.3029,3.69885,0.122533,0.0723766,2.86103,0.158938,
1.30795,3.7132,0.123585,0.0731967,2.84805,0.162391,
1.313,3.72752,0.124647,0.0740374,2.84369,0.16647,
1.31805,3.74173,0.125713,0.0748942,2.82185,0.169668,
1.3231,3.75592,0.12679,0.0757731,2.81744,0.174045,
1.32815,3.76999,0.127872,0.0766694,2.79531,0.177476,
1.3332,3.78404,0.128964,0.0775894,2.79083,0.18218,
1.33825,3.79798,0.130061,0.0785281,2.76841,0.185874,
1.3433,3.81189,0.131169,0.0794923,2.76387,0.190932,
1.34835,3.82569,0.132282,0.0804766,2.74114,0.194918,
1.3534,3.83946,0.133407,0.0814885,2.73654,0.200367,
1.35845,3.85312,0.134536,0.0825221,2.7135,0.204677,
1.3635,3.86675,0.135679,0.0835854,2.70885,0.21056,
1.36855,3.88027,0.136825,0.0846723,2.6855,0.215229,
1.3736,3.89375,0.137985,0.0857914,2.68078,0.221597,
1.37865,3.90712,0.139151,0.086936,2.65711,0.226666,
1.3837,3.92046,0.140329,0.0881156,2.65233,0.233574,
1.38875,3.93368,0.141513,0.089323,2.62834,0.23909,
1.3938,3.94683,0.142707,0.0905637,2.61379,0.245692,
1.39885,3.9599,0.143911,0.0918393,2.59914,0.252593,
1.4039,3.9729,0.145125,0.0931513,2.5844,0.259796,
1.40895,3.98581,0.146349,0.0945013,2.56955,0.267332,
1.414,3.99866,0.147584,0.0958912,2.5546,0.275227,
1.41905,4.01142,0.148831,0.0973229,2.53956,0.283503,
1.4241,4.02411,0.150088,0.0987982,2.52441,0.292143,
1.42915,4.03671,0.151357,0.100319,2.50916,0.301186,
1.4342,4.04919,0.152633,0.101882,2.48357,0.309468,
1.43925,4.06164,0.153926,0.103502,2.47839,0.320703,
1.4443,4.07396,0.155226,0.105167,2.45246,0.329757,
1.44935,4.08619,0.156539,0.106888,2.43672,0.340753,
1.4544,4.09834,0.157865,0.108667,2.42088,0.35227,
1.45945,4.11041,0.159204,0.110507,2.40493,0.364358,
1.4645,4.1224,0.160557,0.112412,2.38888,0.377221,
1.46955,4.13425,0.161918,0.114376,2.36194,0.388955,
1.4746,4.14607,0.163301,0.116421,2.35649,0.404935,
1.47965,4.15775,0.164692,0.118532,2.32919,0.418121,
1.4847,4.16935,0.166098,0.120723,2.31262,0.433885,
1.48975,4.18085,0.167521,0.122999,2.29594,0.450672,
1.4948,4.19222,0.168953,0.125353,2.26796,0.466184,
1.49985,4.20349,0.170401,0.127802,2.25098,0.484881,
1.5049,4.21468,0.171868,0.130351,2.23389,0.504753,
1.50995,4.22577,0.173352,0.133007,2.21669,0.52592,
1.515,4.23672,0.174848,0.135763,2.18781,0.545637,
1.52005,4.24757,0.176362,0.138638,2.1703,0.569462,
1.5251,4.25834,0.177897,0.141643,2.15266,0.594916,
1.53015,4.269,0.179453,0.144785,2.13491,0.62217,
1.5352,4.27952,0.181021,0.148056,2.10512,0.647731,
1.54025,4.28994,0.182611,0.151483,2.08704,0.67868,
1.5453,4.30026,0.184225,0.155078,2.06885,0.711967,
1.55035,4.31042,0.185853,0.158832,2.03832,0.743372,
1.5554,4.32049,0.187506,0.162779,2.01979,0.781523,
1.56045,4.33045,0.189185,0.166934,2.00114,0.822741,
1.5655,4.34026,0.190881,0.171286,1.96985,0.861887,
1.57055,4.34996,0.192605,0.17588,1.95087,0.909565,
1.5756,4.35955,0.194358,0.180735,1.93175,0.961351,
1.58065,4.36898,0.196131,0.18584,1.89968,1.0109,
1.5857,4.3783,0.197936,0.19125,1.88023,1.07144,
1.59075,4.38752,0.199775,0.196995,1.86064,1.13755,
1.5958,4.39656,0.201636,0.203062,1.82777,1.20135,
1.60085,4.40549,0.203535,0.209524,1.80783,1.27955,
1.6059,4.41424,0.205459,0.216368,1.77437,1.35527,
1.61095,4.42288,0.207424,0.223682,1.75407,1.44835,
1.616,4.4314,0.209432,0.231515,1.73363,1.55102,
1.62105,4.43973,0.211471,0.239854,1.69934,1.65133,
1.6261,4.44795,0.213559,0.248818,1.67853,1.77504,
1.63115,4.45597,0.215679,0.258394,1.64362,1.89621,
1.6362,4.46387,0.217855,0.268726,1.62243,2.04598,
1.64125,4.47158,0.220068,0.2798,1.58689,2.19299,
1.6463,4.47915,0.222342,0.291794,1.56533,2.37499,
1.65135,4.48651,0.224659,0.304689,1.52915,2.55353,
1.6564,4.49374,0.227043,0.318701,1.5072,2.77462,
1.66145,4.50076,0.229476,0.333803,1.47036,2.99044,
