Time,LeftRate,RightRate,EstX,EstY,EstTheta,GoalX,GoalY,GoalTheta,LeftVolt,RightVolt,LeftVelRef,RightVelRef,EstLeftVel,EstRightVel
4.078,1.72501,1.2929,0.139215,-0.00165454,-0.0112743,0.157955,0.000820323,0.00995716,9.1043,12,1.63151,1.71968,1.72277,1.36993
4.083,1.8618,1.33591,0.147023,-0.00174344,-0.0113844,0.16628,0.000906129,0.0103061,8.6208,12,1.66738,1.75599,1.74811,1.3772
4.088,2.08668,1.41345,0.154914,-0.00183983,-0.0122142,0.17477,0.000996484,0.0106426,7.89347,12,1.70211,1.79274,1.83654,1.4073
4.093,2.12149,1.45108,0.163104,-0.0019399,-0.012218,0.18342,0.00109136,0.0109672,6.39959,12,1.73663,1.82766,1.99782,1.46824
4.098,1.84306,1.33164,0.171855,-0.00204216,-0.0116848,0.192229,0.00119073,0.0112805,5.63361,12,1.76973,1.86009,2.07557,1.51538
4.103,1.64801,1.34494,0.180922,-0.00215094,-0.0119972,0.201193,0.00129457,0.0115832,7.19019,12,1.80065,1.89222,1.94519,1.45818
4.108,1.72241,1.34178,0.189514,-0.00226479,-0.0132491,0.210308,0.00140283,0.0118758,9.53544,12,1.83205,1.92702,1.79165,1.44126
4.113,1.61601,1.61658,0.197677,-0.00238187,-0.0143427,0.219573,0.00151548,0.0121589,10.3789,12,1.86513,1.96331,1.78394,1.43194
4.118,1.66721,1.66056,0.205796,-0.00249823,-0.0143308,0.228984,0.00163249,0.012433,11.7147,12,1.89973,1.9987,1.72512,1.59396
4.123,1.73744,1.89572,0.214176,-0.00261822,-0.0143181,0.238538,0.00175382,0.0126986,11.8673,12,1.93341,2.03324,1.73506,1.68221
4.128,1.84752,1.78974,0.222803,-0.00274813,-0.0150558,0.248233,0.00187944,0.0129563,11.4737,12,1.96525,2.0678,1.77956,1.85961
4.133,2.11952,1.85351,0.231991,-0.00289229,-0.0156886,0.258065,0.0020093,0.0132066,10.5777,12,1.99508,2.1002,1.85774,1.8638
4.138,1.97846,1.84232,0.241387,-0.00303078,-0.0147384,0.268033,0.00214337,0.0134499,8.96976,11.7924,2.02614,2.13005,2.04334,1.90539
4.143,2.05299,1.86635,0.251357,-0.0031678,-0.0137436,0.278133,0.00228162,0.0136866,9.09814,11.6298,2.05503,2.1576,2.02897,1.91303
4.148,2.14836,1.82688,0.261309,-0.00330335,-0.0136188,0.288364,0.00242401,0.0139173,8.88546,11.9213,2.08285,2.18623,2.06724,1.9328
4.153,2.178,1.94816,0.271408,-0.00344425,-0.0139508,0.298721,0.0025705,0.0141421,8.25684,12,2.10945,2.21486,2.13575,1.91772
4.158,2.08288,1.90916,0.281643,-0.00358352,-0.0136074,0.309204,0.00272106,0.0143615,8.12555,11.8257,2.13643,2.24217,2.17943,1.985
4.163,2.08288,1.83936,0.292157,-0.00372345,-0.0133082,0.31981,0.00287565,0.0145759,8.67492,11.9373,2.16219,2.2684,2.14139,1.9867
4.169,1.91075,2.07721,0.302579,-0.00386628,-0.013703,0.330536,0.00303425,0.0147854,9.09895,12,2.18739,2.2959,2.12941,1.94469
4.174,1.83641,1.63214,0.312865,-0.00401159,-0.0141259,0.341379,0.00319681,0.0149905,10.6824,11.9958,2.21315,2.3241,2.03043,2.07132
4.179,1.66418,1.60412,0.323221,-0.00414712,-0.0130857,0.352339,0.00336332,0.0151914,12,12,2.24076,2.35028,1.95514,1.84659
4.184,1.27384,1.37897,0.33282,-0.00426505,-0.0122859,0.363411,0.00353372,0.0153883,12,12,2.27145,2.38014,1.82147,1.74377
4.189,1.20637,1.29767,0.341821,-0.0043803,-0.0128023,0.374595,0.003708,0.0155814,12,12,2.30303,2.41449,1.53246,1.56682
4.194,1.17479,1.02811,0.349647,-0.00448355,-0.0131949,0.385889,0.00388612,0.0157711,12,12,2.34025,2.45419,1.38131,1.44981
4.199,1.21148,0.893998,0.356795,-0.00457356,-0.0125914,0.397289,0.00406805,0.0159575,12,12,2.38233,2.49601,1.30411,1.24103
4.204,1.12348,1.1836,0.36322,-0.00465481,-0.0126427,0.408794,0.00425377,0.0161407,12,12,2.42711,2.54237,1.29681,1.08001
4.209,1.06173,1.40391,0.369221,-0.00473823,-0.0139006,0.420402,0.00444324,0.0163211,12,12,2.47241,2.59276,1.24087,1.19507
4.214,1.10317,1.33904,0.375371,-0.00483072,-0.015039,0.43211,0.00463643,0.0164987,12,12,2.51763,2.64282,1.18241,1.37287
4.219,0.873863,1.35089,0.381823,-0.00492602,-0.0147706,0.443918,0.00483333,0.0166737,12,12,2.56409,2.69009,1.1854,1.40099
4.224,2.02037,1.38943,0.388353,-0.00501729,-0.0139751,0.455823,0.0050339,0.0168463,12,12,2.61148,2.73672,1.04688,1.4185
4.229,1.69373,1.56412,0.394577,-0.00510455,-0.0140185,0.467823,0.00523812,0.0170165,12,12,2.65942,2.78638,1.69269,1.45056
4.234,1.5913,1.62692,0.402513,-0.0052179,-0.0142826,0.479917,0.00544596,0.0171847,12,12,2.69925,2.82862,1.7395,1.56883
4.239,2.12149,1.6304,0.410866,-0.00533035,-0.0134618,0.492101,0.0056574,0.0173507,12,12,2.73919,2.86767,1.69505,1.65188
4.244,2.11952,1.77724,0.419316,-0.00544024,-0.0130029,0.504376,0.00587241,0.0175149,12,12,2.77838,2.90706,2.00115,1.68647
4.249,2.11854,1.62692,0.428627,-0.005567,-0.0136145,0.516739,0.00609098,0.0176773,12,12,2.81184,2.94405,2.11657,1.78917
4.255,2.2475,0.658729,0.438488,-0.0056952,-0.0129995,0.529188,0.00631307,0.017838,12,12,2.8449,2.97682,2.15962,1.73668
4.261,2.30987,0.0664504,0.448325,-0.00581116,-0.0117873,0.541722,0.00653866,0.0179971,12,12,2.87934,3.00904,2.25285,1.1272
4.265,2.84005,0.0664504,0.456859,-0.00590867,-0.011425,0.554338,0.00676774,0.0181546,12,12,2.91905,3.0492,2.32504,0.534895
4.27,2.56336,0.2286,0.46408,-0.0059956,-0.0120385,0.567037,0.00700028,0.0183108,12,12,2.96396,3.0977,2.67521,0.310703
4.275,2.3029,0.184084,0.471619,-0.0060891,-0.0124018,0.579815,0.00723626,0.0184657,12,12,3.00805,3.14461,2.63996,0.323912
4.28,2.40703,1.49418,0.479102,-0.00617228,-0.0111151,0.592671,0.00747567,0.0186193,12,12,3.05572,3.18972,2.46783,0.301354
4.285,2.15443,1.35129,0.486094,-0.00624549,-0.010471,0.605604,0.00771847,0.0187717,12,12,3.10515,3.23863,2.46809,1.09093
4.29,2.08763,1.77724,0.49508,-0.00634442,-0.0110088,0.618613,0.00796466,0.018923,12,12,3.14254,3.27944,2.31436,1.30357
4.295,1.84158,1.51144,0.504215,-0.0064504,-0.0116012,0.631695,0.00821422,0.0190733,12,12,3.17929,3.31983,2.21605,1.64369
4.301,1.69813,1.53888,0.51396,-0.00655699,-0.0109374,0.64485,0.00846712,0.0192227,12,12,3.21542,3.35539,2.02847,1.6106
4.305,1.80172,1.48353,0.523148,-0.00665607,-0.0107826,0.658076,0.00872335,0.0193711,12,12,3.25375,3.39486,1.86983,1.61442
4.31,1.79747,1.7335,0.531945,-0.00675629,-0.0113918,0.671371,0.0089829,0.0195188,12,12,3.29295,3.43782,1.87253,1.58227
4.315,1.71531,1.66721,0.540668,-0.0068565,-0.011488,0.684735,0.00924574,0.0196656,12,12,3.33375,3.48066,1.8714,1.72231
4.32,1.85051,1.97676,0.549742,-0.00694965,-0.0102655,0.698166,0.00951186,0.0198117,12,12,3.37548,3.51983,1.82085,1.73503
4.325,1.88713,1.84529,0.55872,-0.00703089,-0.00904805,0.711663,0.00978125,0.0199571,12,12,3.418,3.55974,1.88453,1.92863
4.33,2.042,1.85501,0.568348,-0.00712244,-0.00950938,0.725224,0.0100539,0.0201019,12,12,3.45405,3.59907,1.93089,1.92222
4.335,2.00621,1.95148,0.578076,-0.00722948,-0.0110014,0.738848,0.0103298,0.0202462,12,12,3.48772,3.63973,2.04286,1.92599
4.341,1.86788,1.91235,0.588097,-0.00734737,-0.0117648,0.752534,0.0106089,0.0203899,12,12,3.5214,3.67788,2.06379,1.98616
4.345,1.92603,1.78486,0.598322,-0.00747346,-0.0123299,0.766281,0.0108912,0.0205331,12,12,3.55452,3.71482,1.98743,1.98497
4.35,1.87938,1.82542,0.608352,-0.00760364,-0.0129796,0.780088,0.0111767,0.0206759,12,12,3.58869,3.75316,1.99361,1.90693
4.356,1.82179,1.91235,0.6182,-0.00773405,-0.0132416,0.793953,0.0114654,0.0208183,12,12,3.62481,3.79207,1.96759,1.9019
4.361,2.0115,1.87938,0.627969,-0.00785858,-0.0127452,0.807875,0.0117572,0.0209603,12,12,3.66311,3.83039,1.92277,1.95283
4.366,2.08668,2.09527,0.637754,-0.00798353,-0.012769,0.821854,0.0120522,0.021102,12,12,3.70045,3.86967,2.02125,1.95241
